Country,Human Development Index 2021 (HDI) ,Life expectancy at birth 2021,Expected years of schooling 2021,Mean years of schooling 2021,Gross national income (GNI) per capita 2021 (2017 PPP $),GNI per capita rank minus HDI rank 2021,HDI rank 2020,HDI Category 2021
Bolivia (Plurinational State of),0.692,63.6,14.9,9.8,"8,111",0,119,Medium
Kyrgyzstan,0.692,70.0,13.2,11.4,"4,566",26,121,Medium
Venezuela (Bolivarian Republic of),0.691,70.6,12.8,11.1,"4,811",20,118,Medium
Iraq,0.686,70.4,12.1,7.9,"9,977",-12,122,Medium
Tajikistan,0.685,71.6,11.7,11.3,"4,548",23,126,Medium
Belize,0.683,70.5,13.0,8.8,"6,309",6,120,Medium
Morocco,0.683,74.0,14.2,5.9,"7,303",1,122,Medium
El Salvador,0.675,70.7,12.7,7.2,"8,296",-8,124,Medium
Nicaragua,0.667,73.8,12.6,7.1,"5,625",6,129,Medium
Bhutan,0.666,71.8,13.2,5.2,"9,438",-15,125,Medium
Cabo Verde,0.662,74.1,12.6,6.3,"6,230",2,127,Medium
Bangladesh,0.661,72.4,12.4,7.4,"5,472",4,128,Medium
Tuvalu,0.641,64.5,9.4,10.6,"6,351",-2,131,Medium
Marshall Islands,0.639,65.3,10.2,10.9,"4,620",12,131,Medium
India,0.633,67.2,11.9,6.7,"6,590",-6,130,Medium
Ghana,0.632,63.8,12.0,8.3,"5,745",-2,135,Medium
Micronesia (Federated States of),0.628,70.7,11.5,7.8,"3,696",22,136,Medium
Guatemala,0.627,69.2,10.6,5.7,"8,723",-20,133,Medium
Kiribati,0.624,67.4,11.8,8.0,"4,063",14,137,Medium
Honduras,0.621,70.1,10.1,7.1,"5,298",-1,138,Medium
Sao Tome and Principe,0.618,67.6,13.4,6.2,"4,021",13,139,Medium
Namibia,0.615,59.3,11.9,7.2,"8,634",-23,134,Medium
Lao People's Democratic Republic,0.607,68.1,10.1,5.4,"7,700",-18,142,Medium
Timor-Leste,0.607,67.7,12.6,5.4,"4,461",7,140,Medium
Vanuatu,0.607,70.4,11.5,7.1,"3,085",23,142,Medium
Nepal,0.602,68.4,12.9,5.1,"3,877",10,144,Medium
Eswatini (Kingdom of),0.597,57.1,13.7,5.6,"7,679",-21,141,Medium
Equatorial Guinea,0.596,60.6,9.7,5.9,"12,074",-47,147,Medium
Cambodia,0.593,69.6,11.5,5.1,"4,079",3,148,Medium
Zimbabwe,0.593,59.3,12.1,8.7,"3,810",9,145,Medium
Angola,0.586,61.6,12.2,5.4,"5,466",-14,149,Medium
Myanmar,0.585,65.7,10.9,6.4,"3,851",5,145,Medium
Syrian Arab Republic,0.577,72.1,9.2,5.1,"4,192",-2,152,Medium
Cameroon,0.576,60.3,13.1,6.2,"3,621",6,150,Medium
Kenya,0.575,61.4,10.7,6.7,"4,474",-6,150,Medium
Congo,0.571,63.5,12.3,6.2,"2,889",11,153,Medium
Zambia,0.565,61.2,10.9,7.2,"3,218",7,154,Medium
Solomon Islands,0.564,70.3,10.3,5.7,"2,482",13,155,Medium
Comoros,0.558,63.4,11.9,5.1,"3,142",6,156,Medium
Papua New Guinea,0.558,65.4,10.4,4.7,"4,009",-4,157,Medium
Mauritania,0.556,64.4,9.4,4.9,"5,075",-20,158,Medium
Côte d'Ivoire,0.550,58.6,10.7,5.2,"5,217",-22,159,Medium
Tanzania (United Republic of),0.549,66.2,9.2,6.4,"2,664",7,160,Low
Pakistan,0.544,66.1,8.7,4.5,"4,624",-19,161,Low
Togo,0.539,61.6,13.0,5.0,"2,167",12,163,Low
Haiti,0.535,63.2,9.7,5.6,"2,848",2,162,Low
Nigeria,0.535,52.7,10.1,7.2,"4,790",-22,163,Low
Rwanda,0.534,66.1,11.2,4.4,"2,210",6,165,Low
Benin,0.525,59.8,10.8,4.3,"3,409",-7,166,Low
Uganda,0.525,62.7,10.1,5.7,"2,181",6,166,Low
Lesotho,0.514,53.1,12.0,6.0,"2,700",-2,168,Low
Malawi,0.512,62.9,12.7,4.5,"1,466",13,169,Low
Senegal,0.511,67.1,9.0,2.9,"3,344",-10,170,Low
Djibouti,0.509,62.3,7.4,4.1,"5,025",-32,171,Low
Sudan,0.508,65.3,7.9,3.8,"3,575",-14,171,Low
Madagascar,0.501,64.5,10.1,5.1,"1,484",8,173,Low
Gambia,0.500,62.1,9.4,4.6,"2,172",-1,173,Low
Ethiopia,0.498,65.0,9.7,3.2,"2,361",-5,175,Low
Eritrea,0.492,66.5,8.1,4.9,"1,729",3,176,Low
Guinea-Bissau,0.483,59.7,10.6,3.6,"1,908",0,177,Low
Liberia,0.481,60.7,10.4,5.1,"1,289",7,179,Low
Congo (Democratic Republic of the),0.479,59.2,9.8,7.0,"1,076",9,180,Low
Afghanistan,0.478,62.0,10.3,3.0,"1,824",-2,177,Low
Sierra Leone,0.477,60.1,9.6,4.6,"1,622",-1,181,Low
Guinea,0.465,58.9,9.8,2.2,"2,481",-13,182,Low
Yemen,0.455,63.8,9.1,3.2,"1,314",1,183,Low
Burkina Faso,0.449,59.3,9.1,2.1,"2,118",-8,185,Low
Mozambique,0.446,59.3,10.2,3.2,"1,198",2,184,Low
Mali,0.428,58.9,7.4,2.3,"2,133",-11,186,Low
Burundi,0.426,61.7,10.7,3.1,732,4,187,Low
Central African Republic,0.404,53.9,8.0,4.3,966,1,188,Low
Niger,0.400,61.6,7.0,2.1,"1,240",-3,189,Low
Chad,0.394,52.5,8.0,2.6,"1,364",-7,190,Low
South Sudan,0.385,55.0,5.5,5.7,768,-1,191,Low
Korea (Democratic People's Rep. of),,73.3,10.8,,,,,Other
Monaco,,85.9,,,,,,Other
Nauru,,63.6,11.7,,"17,730",,,Other
Somalia,,55.3,,,"1,018",,,Other
